,Person
757,"దేవేందర్
"
758,"జయంతి
"
759,"ఇందుమతి
"
760,"కమలాకరరావు
"
761,"జానకి
"
762,"కామాక్షి
"
763,"కేశవరావు
"
764,"కన్యాకుమారి
"
765,"కృష్ణవేణి
"
766,"దాక్షాయిని
"
767,"కుమారి
"
768,"కనకదుర్గ
"
769,"ధాత్రి
"
770,"దేవయాని
"
771,"దుర్గాప్రసాద్
"
772,"అమరేశ్వరరావు
"
773,"దివాకర్
"
774,"అజై
"
775,"కుమారి
"
776,"అమరేశ్వరరావు
"
777,"జయంతి
"
778,"కృష్ణప్రసాద్
"
779,"అశోక
"
780,"ఉమారాణి
"
781,"దుర్గారావు
"
782,"చక్రవర్తి
"
783,"కృష్ణవేణి
"
784,"శ్రీ గణేష్
"
785,"దుర్గాప్రసాద్
"
786,"ఆంజనేయులు
"
787,"ఉమాభారతి
"
788,"కమలాకరరావు
"
789,"చైతన్య
"
790,"కృష్ణవేణి
"
791,"అశోక
"
792,"చైతన్య
"
793,"దేవేంద్ర
"
794,"దయానంద్
"
795,"దైవసహాయం
"
796,"కొండలరావు
"
797,"జానకిరామ్
"
798,"శ్రీనివాసరావు
"
799,"ఉషాదేవి
"
800,"గంగాభవాని
"
801,"ఉమామహేశ్వరరావు
"
802,"కొండలరావు
"
803,"గాంధారి
"
804,"కృష్ణకుమారి
"
805,"జయంతి రావు
"
806,"కొండలరావు
"
807,"కుమారి
"
808,"దీప్తి
"
809,"దేవయాని
"
810,"జయంతి
"
811,"గంగోత్రి
"
812,"తాతారావు
"
813,"అరుంధతి
"
814,"ఇందు
"
815,"దేవేంద్ర
"
816,"దేవేందర్
"
817,"కమలాకరరావు
"
818,"ధనంజయరావు
"
819,"దేవేంద్ర
"
820,"ఇందిర
"
821,"దుర్గారావు
"
822,"తిరుమలరావు
"
823,"అశోక
"
824,"కేశవరావు
"
825,"గంగాభవాని
"
826,"ఇందిర
"
827,"గీత
"
828,"దేవేంద్ర
"
829,"కోకిల
"
830,"అమరేశ్వరరావు
"
831,"ఉషాదేవి
"
832,"అంజలి
"
833,"ధాత్రి
"
834,"కిష్టయ్య
"
835,"దుర్గారావు
"
836,"ఉషారాణి
"
837,"గీత
"
838,"కాంతారావు
"
839,"జయంతి రావు
"
840,"గాంధారి
"
841,"ఏడుకొండలు
"
842,"దేవదాసు
"
843,"శ్రీ శ్రీ
"
844,"దేవేంద్ర
"
845,"దేవేందర్
"
846,"కృష్ణవేణి
"
847,"జానకిరామ్
"
848,"అంజన
"
849,"అశోక
"
850,"గాంధారి
"
851,"ఇందిర
"
852,"జానకిరామ్
"
853,"అంజలి
"
854,"అజై
"
855,"చూష్మ
"
856,"ఉషోదయం
"
857,"దివ్య
"
858,"కన్యాకుమారి
"
859,"దుర్గారావు
"
860,"కుమారి
"
861,"జానకిరామ్
"
862,"దుర్గాదేవి
"
863,"కనకదుర్గ
"
864,"దుర్గారావు
"
865,"కన్యాకుమారి
"
866,"ఆత్రేయ
"
867,"కుమారి
"
868,"కాంతారావు
"
869,"శ్రీ గణేష్
"
870,"జామకిరామయ్య
"
871,"ధనంజయ్
"
872,"కుటుంబరావు
"
873,"కీరవాణి
"
874,"కృష్ణకుమారి
"
875,"దైవసహాయం
"
876,"దీప్తి
"
877,"గాంధారి
"
878,"ఇందు
"
879,"శ్రీనివాస్
"
880,"ఉమాశంకర్
"
881,"కృష్ణకుమారి
"
882,"శ్రీనివాస్
"
883,"కృష్ణప్రసాద్
"
884,"కోకిల
"
885,"దివ్య
"
886,"ఉమాకాంత్
"
887,"దేవయాని
"
888,"ఆంజనేయులు
"
889,"దేవదాసు
"
890,"ధర్మరాజు
"
891,"దుర్గాప్రసాద్
"
892,"దైవసహాయం
"
893,"దివాకర్
"
894,"ఆత్రేయ
"
895,"ఏడుకొండలు
"
896,"కన్యాకుమారి
"
897,"శ్రీ గణేష్
"
898,"గాంధారి
"
899,"అరుంధతి
"
900,"ఉషారాణి
"
901,"దేవేంద్ర
"
902,"కిష్టయ్య
"
903,"దుర్గాభవాని
"
904,"గంగోత్రి
"
905,"ధనంజయరావు
"
906,"ఉమ
"
907,"ఉమాభారతి
"
908,"దేవి
"
909,"కుటుంబరావు
"
910,"కోటేశ్వరరావు
"
911,"శ్రీదేవి
"
912,"జామకిరామయ్య
"
913,"ఆమని
"
914,"దేవేందర్
"
915,"దుర్గాభవాని
"
916,"చక్రధారి
"
917,"ఉజ్వల
"
918,"శ్రీలక్ష్మి
"
919,"ఈశ్వర్
"
920,"దుర్గారావు
"
921,"జానకిరామ్
"
