,Place
827,"பீகார்
"
828,"தார்வாட்
"
829,"கும்லா
"
830,"ஜரியா
"
831,"ஜம்தரா
"
832,"பாகல்பூர்
"
833,"தும்கா
"
834,"ஆசன்சோல்
"
835,"சங்லங்
"
836,"உன்னாவ்
"
837,"ஜம்மு
"
838,"கத்ரா
"
839,"தியூன்சங்
"
840,"ஜாம்நகர்
"
841,"பிலனி
"
842,"பிரயாக்
"
843,"பிலாஸ்பூர்
"
844,"பெல்லாரி
"
845,"கட்டாக்
"
846,"பிகார் ஷரிப்
"
847,"சாஹிப்கஞ்
"
848,"நசிபபாத், டாடாநகர்
"
849,"பீதர்
"
850,"குர்தாஸ்பூர்
"
851,"சிரிகங்கநகர்
"
852,"சொபூர்
"
853,"அலிகார்
"
854,"பிரோஜாபாத்
"
855,"சம்பவத்
"
856,"கட்டாக்
"
857,"துரா
"
858,"அங்கலேஷ்வர்
"
859,"திருவண்ணாமலை
"
860,"W2.74.கங்டோக்
"
861,"அதிலாபாத்
"
862,"பன்ஜி
"
863,"முஜாப்பர்பூர்
"
864,"பீதர்
"
865,"மதுபன்
"
866,"அம்ராவதி
"
867,"ஹோசங்காபாத்
"
868,"சோம்நாத்
"
869,"நர்கடியாகஞ்
"
870,"குர்தாஸ்பூர்
"
871,"பூர்னியா
"
872,"வாரனாசி பனாரஸ்
"
873,"ஓவியா
"
874,"டிகம்கர்
"
875,"திருச்சி
"
876,"மிர்ஜாப்பூர்
"
877,"பரிதாபாத்
"
878,"கம்மம்
"
879,"லகீம்பூர்-கிரி
"
880,"நாக்பூர்
"
881,"ஹல்தியா
"
882,"புருலியா
"
883,"மதுரை
"
884,"சோலன்
"
885,"லாக்கிம்பூர்
"
886,"கன்னியாகுமரி
"
887,"போபால்
"
888,"ரத்லம்
"
889,"மிர்ஜாப்பூர்
"
890,"ஹகமதாபாத்
"
891,"புவனேஷ்வர்
"
892,"காலஹந்தி
"
893,"பிரயாக்
"
894,"ஹலகாபாத்
"
895,"ரத்லம்
"
896,"உடுப்பி
"
897,"பைய்ஜாபாத்
"
898,"தேவ்கர்
"
899,"அயோத்தியா
"
900,"சிப்லன்
"
901,"விலாஸ்புர்
"
902,"இம்பால்
"
903,"வாரனாசி பனாரஸ்
"
904,"துரா
"
905,"காலஹந்தி
"
906,"பாலசோர்
"
907,"இம்பால்
"
908,"ரோஸ்தா
"
909,"நர்வர்
"
910,"மண்டி
"
911,"பிரயாக்
"
912,"காந்திநகர்
"
913,"பெகுசராய்
"
914,"குண்டூர்
"
915,"கொண்டா
"
916,"மதுரை
"
917,"குல்லு
"
918,"கோபால்பூர்
"
919,"ரத்னகிரி
"
920,"பைய்ஜாபாத்
"
921,"லகீம்பூர்-கிரி
"
922,"ஹங்லாங்
"
923,"கோல்பரா
"
924,"மோகோக்சங்
"
925,"ரோபட்
"
926,"கண்ணியக்குமரி
"
927,"கேதார்நாத்
"
928,"பட்டான்கோட்
"
929,"பரவ்னி
"
930,"பிலாஸ்பூர்
"
931,"பீதர்
"
932,"முஜாப்பர்நகர்
"
933,"பிரோஜாபாத்
"
934,"சில்லாங்
"
935,"காட்சிலா
"
936,"தும்கா
"
937,"குர்தாஸ்பூர்
"
938,"ஜபல்பூர்
"
939,"சதாரா
"
940,"தர்பங்கா
"
941,"சுந்தர்கர்
"
942,"விஜெய்வாடா
"
943,"கும்லா
"
944,"அயோத்தியா
"
945,"அக்பர்பூர்
"
946,"போர் பிளேர்
"
947,"ஆந்திரப்பிதேஷ்
"
948,"வாரனாசி பனாரஸ்
"
949,"ராமநாதபுரம்
"
950,"பிகனேர்
"
951,"ஜபல்பூர்
"
952,"ஈடாரசி
"
953,"ராச்சூர்
"
954,"பட்னா
"
955,"ஆக்ரா
"
956,"அனந்பூர்
"
957,"ஜாம்நகர்
"
958,"போபால்
"
959,"தர்பங்கா
"
960,"இண்டூர்
"
961,"தஞ்சாவூர்
"
